,A,mu,sigma,unique_id
mcr-1.276,0.0618635853019252,87.28949024010393,2.284917353116793,61.0
mcr-1.277,0.0647373954914938,87.24374720231533,2.375989630348628,61.0
mcr-1.278,0.0673808979732588,87.23622601126897,2.406413152591764,61.0
mcr-1.279,0.0715567327457167,87.29356774024477,2.331542479086482,61.0
mcr-1.281,0.0712616188725626,87.3771301409802,2.321495995309535,61.0
mcr-1.282,0.0652249663611945,87.28934094290244,2.480730468202959,61.0
mcr-1.283,0.0734095288523896,87.31721403358686,2.2349416545378924,61.0
mcr-1.286,0.0685587435678153,87.37923896390089,2.3381987874810792,61.0
mcr-1.287,0.0654609508729807,87.3570871390739,2.3568350249724035,61.0
mcr-1.288,0.0661305214945499,87.37214690263268,2.361314755881,61.0
mcr-1.289,0.0701493137064423,87.30972645239403,2.416578855152385,61.0
mcr-1.290,0.0611996915940067,87.23103987008984,2.5992261792667333,61.0
mcr-1.291,0.0690956677510362,87.29120695307316,2.4396814865559886,61.0
mcr-1.293,0.0609068525802937,87.51005897208915,2.377092623774549,61.0
mcr-1.294,0.0641382048656457,87.40938475658017,2.366868377596886,61.0
mcr-1.295,0.0699063295105389,87.49093542738373,2.281808406586792,61.0
mcr-1.296,0.0491219182848363,88.31030997382909,2.6565742342130667,61.0
mcr-1.297,0.0682658888518504,87.77245552217643,2.235649518122457,61.0
mcr-1.298,0.0600362001896192,87.36690269447008,2.26393617884864,61.0
mcr-1.299,0.0569974786477272,87.65856040341563,2.5202385361346704,61.0
mcr-1.300,0.0735501304642273,87.15908621510627,2.1548601000934173,61.0
mcr-1.301,0.0641189798907117,87.1086887981558,2.393057276600411,61.0
mcr-1.302,0.0706975596596919,87.32766730171231,2.3618926947325893,61.0
mcr-1.303,0.0640906663509885,87.36495884384357,2.444299681112907,61.0
mcr-1.305,0.0662792131722097,87.35534244495645,2.330694176942031,61.0
mcr-1.306,0.0660638047242624,87.2672755078522,2.5123739319880363,61.0
mcr-1.307,0.0681412663763938,87.34608741438878,2.4003193864659687,61.0
mcr-1.308,0.0711917230279735,87.25581119726553,2.368236407669645,61.0
mcr-1.309,0.0702342086815046,87.28561790573129,2.3578911079604024,61.0
mcr-1.310,0.0669624811080231,87.33576264839412,2.4512192552820213,61.0
mcr-1.311,0.0618074610057432,87.46254414970029,2.334438917447584,61.0
mcr-1.312,0.0674142449285611,87.44993710095086,2.2527884606931377,61.0
mcr-1.313,0.0727007238083959,87.33632296102927,2.285082579851786,61.0
mcr-1.314,0.0725846354962569,87.24428289349096,2.3524686952399096,61.0
mcr-1.315,0.0684521644189039,87.302592866117,2.2867870885948194,61.0
mcr-1.316,0.0695880130741119,87.34917624269903,2.32543948345033,61.0
mcr-1.317,0.0750671313422384,87.21156351915079,2.3776275037797334,61.0
mcr-1.318,0.0702941357857788,87.34154738804213,2.3653159275762325,61.0
mcr-1.319,0.0759824105347375,87.26204080084659,2.223376938819253,61.0
mcr-1.320,0.0683078685533893,87.09841103712104,2.356917501927852,61.0
mcr-1.321,0.0717160739674771,87.38488501946976,2.320547571376536,61.0
mcr-1.322,0.0741261779920096,87.30885259247235,2.108855580622792,61.0
mcr-1.323,0.0668466807133085,87.48296504906962,2.2815591520291414,61.0
mcr-1.324,0.0708993720826824,87.33582629771563,2.473082987265532,61.0
mcr-1.325,0.069785540540179,87.5241166029999,2.2612918626947343,61.0
mcr-1.326,0.0644962464816286,87.23977947288765,2.340016222564685,61.0
mcr-1.327,0.0668574505589014,87.4207652131524,2.1990558159736824,61.0
mcr-1.328,0.0686404623997718,87.20697873814869,2.211592215613823,61.0
mcr-1.329,0.0664362427904608,87.40955540295782,2.324830014490969,61.0
mcr-1.330,0.0674465828889629,87.55549460816134,2.134528166869101,61.0
mcr-1.331,0.0642000134905196,87.43158495847908,2.4130839626138965,61.0
mcr-1.332,0.0536793765955353,87.50857829005841,2.4269662810259907,61.0
mcr-1.333,0.0677590200431872,88.04577935685268,2.3277344565101146,61.0
mcr-1.334,0.0747972336741359,87.75650442164172,2.2332778434744336,61.0
